order_id,customer_id,order_time,order_status,payment_method,discount_amount,delivery_days
O000001,C00033,2025-02-17 02:08:20,已完成,银行卡,38.0,7
O000002,C00489,2025-03-31 01:57:51,已完成,银行卡,5.14,1
O000003,C01526,2024-04-07 11:21:53,已取消,微信支付,23.94,4
O000004,C01233,2025-03-01 18:40:34,已完成,微信支付,29.76,2
O000005,C01648,2025-05-29 13:27:04,已完成,银行卡,77.03,5
O000006,C01736,2024-09-30 19:35:03,已发货,银行卡,15.44,3
O000007,C01065,2025-01-25 17:54:16,已完成,银行卡,8.06,3
O000008,C00044,2024-08-05 16:19:01,已完成,微信支付,4.3,7
O000009,C00996,2025-09-27 12:48:45,已完成,微信支付,41.76,6
O000010,C01747,2025-04-15 01:17:38,待发货,货到付款,41.56,3
O000011,C01474,2025-03-11 04:19:27,已完成,支付宝,15.67,2
O000012,C01802,2025-11-18 17:01:48,已完成,微信支付,19.8,3
O000013,C01364,2025-05-29 07:20:08,已完成,支付宝,25.51,2
O000014,C00706,2024-07-27 17:35:30,已完成,支付宝,0.76,6
O000015,C01896,2025-05-14 08:38:20,已完成,微信支付,65.36,6
O000016,C00124,2025-12-05 00:25:01,待发货,货到付款,61.82,4
O000017,C01830,2024-01-28 16:21:28,已完成,支付宝,25.62,3
O000018,C01957,2025-05-04 21:13:08,已发货,未知,45.94,3
O000019,C00867,2024-05-20 10:54:02,已完成,微信支付,26.25,2
O000020,C01548,2025-08-17 03:23:12,已完成,支付宝,2.14,4
O000021,C00582,2025-05-13 09:18:11,已完成,未知,47.18,4
O000022,C01802,2025-11-12 23:56:37,已完成,微信支付,57.73,3
O000023,C00150,2025-06-01 07:38:47,已完成,未知,26.71,4
O000024,C01932,2024-01-20 01:50:29,已完成,支付宝,19.31,3
O000025,C00710,2025-02-03 18:23:38,已完成,支付宝,21.14,3
O000026,C01448,2025-10-26 05:25:06,已完成,货到付款,27.93,6
O000027,C01166,2024-06-23 00:43:47,已完成,微信支付,37.4,4
O000028,C00563,2024-03-25 16:58:30,已退款,银行卡,60.39,4
O000029,C01143,2025-06-17 08:47:25,已退款,微信支付,15.92,3
O000030,C01020,2025-01-27 03:27:52,已完成,微信支付,56.51,4
O000031,C01283,2024-02-22 01:35:18,已完成,微信支付,77.16,3
O000032,C01031,2024-07-27 04:20:26,已完成,未知,14.42,4
O000033,C00407,2024-09-01 03:27:55,已完成,微信支付,40.61,4
O000034,C01777,2025-05-31 00:23:08,已完成,未知,28.9,3
O000035,C01066,2024-12-28 08:05:31,已完成,微信支付,48.04,4
O000036,C00151,2025-01-12 19:52:34,已完成,支付宝,70.47,4
O000037,C00033,2025-08-10 09:08:42,已完成,微信支付,70.91,3
O000038,C01690,2024-07-26 00:16:55,已完成,微信支付,35.44,6
O000039,C01983,2025-06-01 21:15:20,已完成,支付宝,60.59,7
O000040,C01166,2024-10-06 15:13:06,已完成,银行卡,40.9,5
O000041,C01553,2024-11-11 23:29:23,已完成,银行卡,61.76,5
O000042,C00867,2025-03-15 13:57:09,已完成,货到付款,70.75,6
O000043,C00017,2025-06-09 11:19:43,已完成,微信支付,56.94,5
O000044,C00536,2025-11-19 12:44:34,已完成,微信支付,4.86,5
O000045,C01295,2024-07-20 00:43:45,已完成,微信支付,19.62,2
O000046,C00291,2024-04-11 09:45:20,已完成,银行卡,62.86,4
O000047,C01423,2024-11-21 10:37:57,已完成,支付宝,1.57,5
O000048,C00398,2025-03-07 07:44:53,已完成,支付宝,41.44,4
O000049,C01009,2024-06-21 20:45:54,已退款,支付宝,48.83,3
O000050,C01736,2025-10-14 22:40:42,已完成,支付宝,65.6,5
O000051,C01474,2025-08-05 11:33:11,已完成,支付宝,64.53,5
O000052,C00122,2025-01-18 18:05:08,已完成,微信支付,5.85,3
O000053,C00083,2024-12-13 05:30:57,已完成,支付宝,54.38,3
