ym,order_cnt,gmv,avg_order_value,mom_pct,yoy_pct
2024-01,92,353977.43,3847.58,,
2024-02,113,427498.72,3783.17,20.77,
2024-03,131,501748.71,3830.14,17.37,
2024-04,150,516115.61,3440.77,2.86,
2024-05,174,615144.48,3535.31,19.189999999999998,
2024-06,252,829746.44,3292.64,34.89,
2024-07,158,520213.42,3292.49,-37.3,
2024-08,158,588068.68,3721.95,13.04,
2024-09,138,492483.44,3568.72,-16.25,
2024-10,108,405996.52,3759.23,-17.560000000000002,
2024-11,168,561520.62,3342.38,38.31,
2024-12,141,466802.3,3310.65,-16.869999999999997,
2025-01,138,508804.3,3686.99,9.0,43.74
2025-02,126,386190.02,3065.0,-24.099999999999998,-9.66
2025-03,143,452951.18,3167.49,17.29,-9.73
2025-04,153,573423.29,3747.86,26.6,11.1
2025-05,176,630724.0,3583.66,9.99,2.53
2025-06,294,1046308.78,3558.87,65.89,26.1
2025-07,208,767927.3,3691.96,-26.61,47.620000000000005
2025-08,191,690249.73,3613.87,-10.12,17.380000000000003
2025-09,161,583234.57,3622.57,-15.5,18.43
2025-10,118,395284.01,3349.86,-32.23,-2.64
2025-11,201,781093.52,3886.04,97.6,39.1
2025-12,143,481158.2,3364.74,-38.4,3.08
