product_id,product_name,category,sold_qty,revenue,cost,margin_pct
P0020,海尔 洗衣机 升级款,家用电器,1324,3090335.32,2105557.1999999997,31.87
P0008,小米 平板电脑 升级款,手机数码,523,1189439.28,757894.9900000001,36.28
P0016,美的 冰箱 经典款,家用电器,280,902559.89,631164.7999999999,30.07
P0039,耐克 运动鞋 尊享款,服饰鞋包,1293,881764.63,390162.75,55.75
P0003,华为 手机 尊享款,手机数码,187,835135.04,609737.81,26.99
P0084,乐高 积木 尊享款,母婴玩具,1312,617177.94,281528.96,54.38
P0045,波司登 羽绒服 尊享款,服饰鞋包,612,603073.5,316820.16,47.47
P0022,格力 空调 经典款,家用电器,144,447167.33,308280.96,31.06
P0013,华为 智能手表 经典款,手机数码,288,391229.97000000003,215858.87999999998,44.83
P0005,漫步者 耳机 升级款,手机数码,737,283940.23,133153.79,53.1
