product_id,product_name,category,unit_price,unit_cost
P0001,华为 手机 经典款,手机数码,4712.18,3265.97
P0006,漫步者 耳机 尊享款,手机数码,416.67,170.92
P0010,小米 充电宝 经典款,手机数码,125.93,55.54
P0017,美的 冰箱 升级款,家用电器,3504.55,2219.19
P0019,海尔 洗衣机 经典款,家用电器,2922.27,1618.67
P0024,格力 空调 尊享款,家用电器,3254.4,2051.22
P0027,苏泊尔 电饭煲 尊享款,家用电器,356.39,178.63
P0029,戴森 吸尘器 升级款,家用电器,2508.84,1292.13
P0035,李维斯 牛仔裤 升级款,服饰鞋包,333.31,114.55
P0036,李维斯 牛仔裤 尊享款,服饰鞋包,306.89,121.58
P0042,新秀丽 双肩包 尊享款,服饰鞋包,439.3,175.33
P0046,自然堂 面膜 经典款,美妆个护,110.18,32.3
P0051,兰蔻 口红 尊享款,美妆个护,352.75,133.56
P0060,欧莱雅 洗面奶 尊享款,美妆个护,129.99,47.21
P0062,三只松鼠 坚果礼盒 升级款,食品饮料,138.4,52.86
P0066,雀巢 咖啡 尊享款,食品饮料,103.09,42.45
P0068,八马 茶叶 升级款,食品饮料,277.41,125.56
P0069,八马 茶叶 尊享款,食品饮料,265.06,110.62
P0070,德芙 巧克力 经典款,食品饮料,53.39,22.18
P0072,德芙 巧克力 尊享款,食品饮料,58.94,22.54
P0075,蒙牛 牛奶 尊享款,食品饮料,87.88,38.23
P0076,飞鹤 奶粉 经典款,母婴玩具,312.99,187.24
P0081,帮宝适 纸尿裤 尊享款,母婴玩具,150.88,66.81
P0083,乐高 积木 升级款,母婴玩具,509.05,219.65
P0085,迪士尼 毛绒玩具 经典款,母婴玩具,197.43,78.32
P0088,好孩子 婴儿推车 经典款,母婴玩具,801.2,390.34
P0089,好孩子 婴儿推车 升级款,母婴玩具,781.53,395.1
