order_item_id,order_id,product_id,quantity,unit_price,discount_rate,subtotal
1,O000001,P0048,3,108.33,0.0,324.99
2,O000001,P0032,4,119.12,0.0,476.48
3,O000002,P0080,5,129.71,0.05,616.12
4,O000004,P0087,5,186.22,0.0,931.1
5,O000004,P0012,1,123.7,0.0,123.7
6,O000004,P0084,2,501.24,0.05,952.36
7,O000004,P0048,3,106.05,0.0,318.15
8,O000005,P0080,2,132.34,0.05,251.45
9,O000006,P0039,3,700.62,0.1,1891.67
10,O000006,P0020,1,2595.57,0.0,2595.57
11,O000006,P0054,1,64.66,0.0,64.66
12,O000007,P0039,2,692.42,0.05,1315.6
13,O000008,P0080,2,127.92,0.05,243.05
14,O000008,P0061,3,130.27,0.0,390.81
15,O000009,P0073,3,76.37,0.15,194.74
16,O000009,P0058,4,117.11,0.0,468.44
17,O000009,P0077,3,276.71,0.1,747.12
18,O000009,P0087,3,193.88,0.15,494.39
19,O000010,P0073,5,67.89,0.05,322.48
20,O000011,P0071,1,55.09,0.05,52.34
21,O000011,P0067,1,244.6,0.2,195.68
22,O000012,P0008,1,2342.72,0.05,2225.58
23,O000012,P0007,2,2225.1,0.0,4450.2
24,O000013,P0080,1,125.34,0.0,125.34
25,O000013,P0058,5,105.69,0.0,528.45
26,O000013,P0084,1,473.54,0.0,473.54
27,O000013,P0054,5,58.19,0.0,290.95
28,O000014,P0084,1,521.76,0.05,495.67
29,O000015,P0084,1,462.39,0.0,462.39
30,O000016,P0020,1,2297.46,0.0,2297.46
31,O000017,P0080,2,130.61,0.1,235.1
32,O000017,P0084,1,496.74,0.2,397.39
33,O000018,P0025,2,305.36,0.1,549.65
34,O000018,P0064,1,107.11,0.0,107.11
35,O000018,P0008,1,2507.86,0.0,2507.86
36,O000019,P0015,1,1453.39,0.1,1308.05
37,O000019,P0039,3,653.43,0.0,1960.29
38,O000020,P0020,1,2357.02,0.2,1885.62
39,O000020,P0039,2,704.22,0.0,1408.44
40,O000020,P0037,2,685.17,0.1,1233.31
41,O000020,P0045,1,996.69,0.0,996.69
42,O000021,P0087,4,200.93,0.15,683.16
43,O000021,P0032,1,124.45,0.0,124.45
44,O000022,P0025,3,301.61,0.0,904.83
45,O000022,P0043,2,976.73,0.0,1953.46
46,O000022,P0009,2,2076.9,0.05,3946.11
47,O000022,P0020,2,2511.9,0.0,5023.8
48,O000023,P0054,2,61.71,0.0,123.42
49,O000023,P0045,1,1071.05,0.1,963.94
50,O000023,P0008,1,2343.83,0.0,2343.83
51,O000024,P0084,2,505.79,0.0,1011.58
52,O000024,P0058,2,109.77,0.15,186.61
53,O000025,P0084,2,510.78,0.0,1021.56
54,O000025,P0045,2,1014.09,0.05,1926.77
55,O000026,P0008,2,2182.97,0.0,4365.94
56,O000026,P0058,4,109.62,0.0,438.48
57,O000026,P0045,3,951.47,0.0,2854.41
58,O000027,P0039,3,758.86,0.0,2276.58
59,O000030,P0059,5,106.58,0.1,479.61
60,O000030,P0016,1,3288.78,0.0,3288.78
61,O000031,P0055,2,738.46,0.05,1403.07
62,O000031,P0054,1,59.43,0.1,53.49
63,O000031,P0084,3,498.7,0.0,1496.1
64,O000032,P0080,3,122.15,0.0,366.45
65,O000033,P0022,2,3129.29,0.1,5632.72
66,O000033,P0005,1,371.04,0.05,352.49
67,O000033,P0020,2,2448.19,0.05,4651.56
68,O000033,P0087,1,181.72,0.0,181.72
69,O000034,P0005,3,387.98,0.0,1163.94
70,O000034,P0020,2,2466.02,0.05,4685.44
71,O000035,P0032,5,116.47,0.05,553.23
72,O000035,P0063,4,111.34,0.0,445.36
73,O000036,P0020,2,2301.68,0.0,4603.36
74,O000036,P0045,2,1026.03,0.2,1641.65
75,O000036,P0077,1,282.62,0.2,226.1
76,O000036,P0073,4,74.82,0.0,299.28
77,O000037,P0012,4,122.42,0.05,465.2
78,O000037,P0087,1,193.75,0.0,193.75
79,O000037,P0015,1,1371.21,0.0,1371.21
80,O000037,P0080,3,121.61,0.0,364.83
81,O000038,P0043,2,970.15,0.0,1940.3
82,O000038,P0084,1,476.52,0.0,476.52
83,O000038,P0020,1,2397.61,0.0,2397.61
84,O000038,P0022,1,3309.62,0.05,3144.14
85,O000039,P0020,2,2577.4,0.05,4897.06
86,O000039,P0054,2,57.34,0.0,114.68
87,O000039,P0016,1,3326.32,0.05,3160.0
88,O000039,P0084,3,453.61,0.05,1292.79
89,O000040,P0054,3,63.33,0.0,189.99
90,O000041,P0073,1,75.94,0.0,75.94
91,O000041,P0080,4,115.12,0.1,414.43
92,O000042,P0039,3,659.89,0.0,1979.67
93,O000042,P0045,2,1041.12,0.05,1978.13
94,O000042,P0020,2,2385.89,0.1,4294.6
95,O000042,P0031,4,123.51,0.0,494.04
96,O000043,P0048,3,108.97,0.0,326.91
97,O000043,P0061,3,120.23,0.0,360.69
