product_id,product_name,category,sub_category,brand,unit_cost,unit_price,supplier,is_active
P0001,华为 手机 经典款,手机数码,手机,华为,3265.97,4712.18,华为官方旗舰店,1
P0002,华为 手机 升级款,手机数码,手机,华为,3234.11,4442.68,华为官方旗舰店,1
P0003,华为 手机 尊享款,手机数码,手机,华为,3260.63,4983.62,华为官方旗舰店,1
P0004,漫步者 耳机 经典款,手机数码,耳机,漫步者,176.14,404.2,漫步者官方旗舰店,1
P0005,漫步者 耳机 升级款,手机数码,耳机,漫步者,180.67,434.86,漫步者官方旗舰店,1
P0006,漫步者 耳机 尊享款,手机数码,耳机,漫步者,170.92,416.67,漫步者官方旗舰店,1
P0007,小米 平板电脑 经典款,手机数码,平板电脑,小米,1541.39,2430.92,小米官方旗舰店,1
P0008,小米 平板电脑 升级款,手机数码,平板电脑,小米,1449.13,2563.43,小米官方旗舰店,1
P0009,小米 平板电脑 尊享款,手机数码,平板电脑,小米,1531.78,2260.12,小米官方旗舰店,1
P0010,小米 充电宝 经典款,手机数码,充电宝,小米,55.54,125.93,小米官方旗舰店,1
P0011,小米 充电宝 升级款,手机数码,充电宝,小米,61.01,143.77,小米官方旗舰店,1
P0012,小米 充电宝 尊享款,手机数码,充电宝,小米,58.09,132.85,小米官方旗舰店,1
P0013,华为 智能手表 经典款,手机数码,智能手表,华为,749.51,1545.27,华为官方旗舰店,1
P0014,华为 智能手表 升级款,手机数码,智能手表,华为,805.66,1535.45,华为官方旗舰店,1
P0015,华为 智能手表 尊享款,手机数码,智能手表,华为,808.83,1503.65,华为官方旗舰店,1
P0016,美的 冰箱 经典款,家用电器,冰箱,美的,2254.16,3656.12,美的官方旗舰店,1
P0017,美的 冰箱 升级款,家用电器,冰箱,美的,2219.19,3504.55,美的官方旗舰店,1
P0018,美的 冰箱 尊享款,家用电器,冰箱,美的,2026.11,3900.51,美的官方旗舰店,1
P0019,海尔 洗衣机 经典款,家用电器,洗衣机,海尔,1618.67,2922.27,海尔官方旗舰店,1
P0020,海尔 洗衣机 升级款,家用电器,洗衣机,海尔,1590.3,2628.19,海尔官方旗舰店,1
P0021,海尔 洗衣机 尊享款,家用电器,洗衣机,海尔,1611.03,2780.2,海尔官方旗舰店,1
P0022,格力 空调 经典款,家用电器,空调,格力,2140.84,3490.02,格力官方旗舰店,1
P0023,格力 空调 升级款,家用电器,空调,格力,2084.66,3304.51,格力官方旗舰店,0
P0024,格力 空调 尊享款,家用电器,空调,格力,2051.22,3254.4,格力官方旗舰店,1
P0025,苏泊尔 电饭煲 经典款,家用电器,电饭煲,苏泊尔,185.57,325.63,苏泊尔官方旗舰店,1
P0026,苏泊尔 电饭煲 升级款,家用电器,电饭煲,苏泊尔,172.18,328.97,苏泊尔官方旗舰店,1
P0027,苏泊尔 电饭煲 尊享款,家用电器,电饭煲,苏泊尔,178.63,356.39,苏泊尔官方旗舰店,1
P0028,戴森 吸尘器 经典款,家用电器,吸尘器,戴森,1361.96,2828.71,戴森官方旗舰店,1
P0029,戴森 吸尘器 升级款,家用电器,吸尘器,戴森,1292.13,2508.84,戴森官方旗舰店,1
P0030,戴森 吸尘器 尊享款,家用电器,吸尘器,戴森,1372.06,2540.3,戴森官方旗舰店,1
P0031,优衣库 T恤 经典款,服饰鞋包,T恤,优衣库,42.29,137.82,优衣库官方旗舰店,1
P0032,优衣库 T恤 升级款,服饰鞋包,T恤,优衣库,43.63,129.16,优衣库官方旗舰店,1
P0033,优衣库 T恤 尊享款,服饰鞋包,T恤,优衣库,43.52,124.47,优衣库官方旗舰店,1
P0034,李维斯 牛仔裤 经典款,服饰鞋包,牛仔裤,李维斯,125.41,330.23,李维斯官方旗舰店,1
P0035,李维斯 牛仔裤 升级款,服饰鞋包,牛仔裤,李维斯,114.55,333.31,李维斯官方旗舰店,1
P0036,李维斯 牛仔裤 尊享款,服饰鞋包,牛仔裤,李维斯,121.58,306.89,李维斯官方旗舰店,1
P0037,耐克 运动鞋 经典款,服饰鞋包,运动鞋,耐克,298.41,771.31,耐克官方旗舰店,1
P0038,耐克 运动鞋 升级款,服饰鞋包,运动鞋,耐克,302.82,700.41,耐克官方旗舰店,1
P0039,耐克 运动鞋 尊享款,服饰鞋包,运动鞋,耐克,301.75,765.84,耐克官方旗舰店,1
P0040,新秀丽 双肩包 经典款,服饰鞋包,双肩包,新秀丽,182.44,469.77,新秀丽官方旗舰店,1
P0041,新秀丽 双肩包 升级款,服饰鞋包,双肩包,新秀丽,179.27,486.76,新秀丽官方旗舰店,1
P0042,新秀丽 双肩包 尊享款,服饰鞋包,双肩包,新秀丽,175.33,439.3,新秀丽官方旗舰店,1
P0043,波司登 羽绒服 经典款,服饰鞋包,羽绒服,波司登,500.7,1071.05,波司登官方旗舰店,1
P0044,波司登 羽绒服 升级款,服饰鞋包,羽绒服,波司登,518.12,1075.92,波司登官方旗舰店,1
P0045,波司登 羽绒服 尊享款,服饰鞋包,羽绒服,波司登,517.68,1108.86,波司登官方旗舰店,1
P0046,自然堂 面膜 经典款,美妆个护,面膜,自然堂,32.3,110.18,自然堂官方旗舰店,1
P0047,自然堂 面膜 升级款,美妆个护,面膜,自然堂,35.76,95.44,自然堂官方旗舰店,1
P0048,自然堂 面膜 尊享款,美妆个护,面膜,自然堂,34.43,109.83,自然堂官方旗舰店,1
P0049,兰蔻 口红 经典款,美妆个护,口红,兰蔻,127.6,318.52,兰蔻官方旗舰店,1
P0050,兰蔻 口红 升级款,美妆个护,口红,兰蔻,128.4,327.88,兰蔻官方旗舰店,0
P0051,兰蔻 口红 尊享款,美妆个护,口红,兰蔻,133.56,352.75,兰蔻官方旗舰店,1
P0052,海飞丝 洗发水 经典款,美妆个护,洗发水,海飞丝,27.78,65.86,海飞丝官方旗舰店,1
P0053,海飞丝 洗发水 升级款,美妆个护,洗发水,海飞丝,26.78,72.22,海飞丝官方旗舰店,1
P0054,海飞丝 洗发水 尊享款,美妆个护,洗发水,海飞丝,28.56,65.85,海飞丝官方旗舰店,1
P0055,香奈儿 香水 经典款,美妆个护,香水,香奈儿,360.97,841.6,香奈儿官方旗舰店,1
P0056,香奈儿 香水 升级款,美妆个护,香水,香奈儿,367.92,960.14,香奈儿官方旗舰店,1
P0057,香奈儿 香水 尊享款,美妆个护,香水,香奈儿,365.27,978.55,香奈儿官方旗舰店,1
P0058,欧莱雅 洗面奶 经典款,美妆个护,洗面奶,欧莱雅,44.41,117.23,欧莱雅官方旗舰店,1
P0059,欧莱雅 洗面奶 升级款,美妆个护,洗面奶,欧莱雅,42.36,113.0,欧莱雅官方旗舰店,1
P0060,欧莱雅 洗面奶 尊享款,美妆个护,洗面奶,欧莱雅,47.21,129.99,欧莱雅官方旗舰店,1
P0061,三只松鼠 坚果礼盒 经典款,食品饮料,坚果礼盒,三只松鼠,56.97,141.04,三只松鼠官方旗舰店,1
